Date,CIPLA,HUL,INFY,RIL
17-02-2020,426.346283,2131.572266,739.644897,1449.848145
18-02-2020,430.393585,2114.350342,747.327576,1439.206543
19-02-2020,441.745697,2168.996826,749.950928,1474.907227
20-02-2020,430.14679,2127.456299,746.718506,1457.400146
24-02-2020,424.618805,2096.134521,745.641052,1417.187988
25-02-2020,420.324738,2113.593018,748.030273,1389.186523
26-02-2020,416.771027,2116.053467,733.367615,1365.255127
27-02-2020,415.783905,2133.795898,728.776733,1359.615845
28-02-2020,396.929504,2057.905518,685.538269,1303.122437
02-03-2020,396.781433,2043.427002,694.29834,1290.862671
03-03-2020,419.831177,2050.23999,699.873108,1317.049561
04-03-2020,441.893768,2058.946289,710.881714,1313.960083
05-03-2020,434.934418,2098.831299,706.99353,1285.958618
06-03-2020,428.814117,2071.294434,692.330933,1246.5802
09-03-2020,420.670227,2007.515869,660.007324,1092.743652
11-03-2020,411.736633,2039.216309,642.721375,1131.386719
12-03-2020,389.673981,1945.487915,591.378601,1042.576416
13-03-2020,420.077942,1923.960327,601.825134,1084.063843
16-03-2020,391.302765,1837.565552,546.360107,996.185181
