,Date,Open,High,Low,Close,Adj Close,Volume,Name
563,2020-07-17,911.0,919.9,892.15,903.15,857.69,31682878,INFOSYS
564,2020-07-20,908.5,945.0,906.75,934.3,887.27,18421053,INFOSYS
565,2020-07-21,945.0,949.7,929.2,936.75,889.6,12877784,INFOSYS
566,2020-07-22,938.95,939.0,910.0,917.9,871.7,14354201,INFOSYS
567,2020-07-23,915.65,915.8,900.65,907.95,862.25,13051307,INFOSYS
568,2020-07-24,903.25,925.75,903.25,922.85,876.4,18209580,INFOSYS
569,2020-07-27,921.55,952.8,918.65,948.45,900.71,16827870,INFOSYS
570,2020-07-28,946.0,967.55,941.2,962.85,914.39,15818463,INFOSYS
571,2020-07-29,953.25,960.0,943.6,954.15,906.12,11152710,INFOSYS
572,2020-07-30,962.0,972.65,958.75,961.45,913.06,12492320,INFOSYS
573,2020-07-31,969.25,986.45,953.3,966.0,917.38,12704346,INFOSYS
574,2020-08-03,960.0,965.4,947.45,956.9,908.73,8479792,INFOSYS
575,2020-08-04,960.45,970.7,940.55,949.85,902.04,11133170,INFOSYS
576,2020-08-05,952.0,960.95,938.3,944.7,897.15,9614176,INFOSYS
577,2020-08-06,953.5,974.4,942.5,970.85,921.98,10976491,INFOSYS
578,2020-08-07,969.45,969.45,949.0,950.9,903.04,8010948,INFOSYS
579,2020-08-10,948.9,956.8,945.3,951.35,903.46,5716319,INFOSYS
580,2020-08-11,949.9,962.0,946.1,948.45,900.71,6802442,INFOSYS
581,2020-08-12,948.0,958.8,942.2,954.95,906.88,6908726,INFOSYS
582,2020-08-13,954.8,968.5,948.25,951.2,903.32,5097703,INFOSYS
583,2020-08-14,955.85,963.0,952.05,953.6,905.6,4663873,INFOSYS
584,2020-08-17,954.1,972.45,954.1,957.5,909.3,9008210,INFOSYS
585,2020-08-18,963.9,969.2,958.7,967.55,918.85,6141761,INFOSYS
586,2020-08-19,970.9,971.55,957.45,959.3,911.01,6622744,INFOSYS
587,2020-08-20,958.9,965.5,951.3,955.15,907.07,5656501,INFOSYS
588,2020-08-21,963.05,963.45,946.55,948.8,901.04,6513773,INFOSYS
589,2020-08-24,947.0,952.0,939.2,947.4,899.71,5798574,INFOSYS
590,2020-08-25,947.5,948.65,933.6,938.1,890.88,6233918,INFOSYS
591,2020-08-26,941.25,954.25,938.4,950.8,902.94,5153601,INFOSYS
592,2020-08-27,960.0,960.95,945.2,947.05,899.38,6154280,INFOSYS
593,2020-08-28,951.45,952.5,933.05,935.25,888.17,7593610,INFOSYS
594,2020-08-31,935.25,950.5,914.6,928.6,881.86,12808355,INFOSYS
595,2020-09-01,926.25,935.0,912.1,914.15,868.14,6907773,INFOSYS
596,2020-09-02,915.0,926.4,913.5,924.0,877.49,5678118,INFOSYS
597,2020-09-03,926.5,949.4,924.0,935.55,888.46,8827948,INFOSYS
598,2020-09-04,915.0,929.5,914.45,919.15,872.88,8650342,INFOSYS
599,2020-09-07,918.9,927.55,913.05,925.05,878.49,6700385,INFOSYS
600,2020-09-08,929.95,952.0,925.55,939.3,892.02,12891964,INFOSYS
601,2020-09-09,935.0,946.0,926.0,927.75,881.05,5528947,INFOSYS
602,2020-09-10,935.3,942.0,924.8,940.05,892.73,5171884,INFOSYS
603,2020-09-11,934.9,954.15,931.0,945.7,898.1,6671903,INFOSYS
604,2020-09-14,957.0,991.05,948.3,978.4,929.15,21871587,INFOSYS
605,2020-09-15,979.5,994.0,971.65,982.45,933.0,11608203,INFOSYS
606,2020-09-16,986.0,1005.65,982.0,1001.75,951.33,10059251,INFOSYS
607,2020-09-17,995.0,1021.0,995.0,1011.0,960.11,15628241,INFOSYS
608,2020-09-18,1011.0,1018.8,999.1,1002.15,951.71,12897633,INFOSYS
609,2020-09-21,1001.0,1031.0,1000.5,1009.9,959.07,14140637,INFOSYS
610,2020-09-22,1009.0,1022.5,991.2,1007.5,956.79,12625762,INFOSYS
611,2020-09-23,1020.15,1037.0,1008.1,1019.75,968.42,13486204,INFOSYS
612,2020-09-24,1003.0,1009.0,970.0,975.4,926.3,14427432,INFOSYS
613,2020-09-25,975.8,1014.9,975.0,1011.45,960.54,13311078,INFOSYS
614,2020-09-28,1014.8,1016.15,998.5,1010.4,959.54,8554526,INFOSYS
615,2020-09-29,1018.0,1028.0,1004.1,1009.0,958.21,8708463,INFOSYS
616,2020-09-30,1009.0,1023.95,1005.0,1008.25,957.5,8048817,INFOSYS
617,2020-10-01,1020.6,1026.5,1011.75,1017.65,966.43,5563358,INFOSYS
618,2020-10-05,1018.05,1054.9,1018.05,1048.7,995.91,14212509,INFOSYS
619,2020-10-06,1055.0,1060.0,1031.35,1055.75,1002.61,9090819,INFOSYS
